uuid,name,datatype,class,answers
17741003-99bd-4f74-b4d0-2c3a7c414e66,SCD Diagnosis Date,Date,Question,
d26d168c-005e-4154-8869-303030ab18cf,SSUUBO Enrollment Date,Date,Question,
23b3670b-80b0-4ac4-9f45-30327ae0b374,PCV Vaccination Date,Date,Question,

d92887e0-a93e-4421-9591-b79a4ec368f4,On Hydroxyurea,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
540749c2-4a22-4c7f-811e-f1fd2e1a8f83,Hydroxyurea Start Date,Date,Question,
7b1d3e6a-c618-461c-90a0-ec3ad6fbccf2,Hydroxyurea Stop Date,Date,Question,

b90f7989-b674-40e0-b0fb-e05594dad54c,On Chronic Transfusion,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
b2652b54-82be-4096-8da5-52983b94d1f7,Transfusion Start Date,Date,Question,
1a5ab582-bc35-444e-beb6-fede832b3918,Transfusion Stop Date,Date,Question,

42510723-8e90-4cd9-8f64-53158a9a8710,On Physiotherapy,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
bccceb29-650b-4689-8ac7-84f2c5a73669,Physiotherapy Start Date,Date,Question,
72100e41-91b9-4f38-94b6-2d33729b7534,Physiotherapy Stop Date,Date,Question,

b0a4b1b5-0315-4101-9d11-f9de6285f8cc,Stroke Diagnosed,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
c9c97cab-863a-4ed9-8743-d576f38c5787,Stroke Diagnosis Date,Date,Question,

83c4a8d4-0d3f-4e7e-bc04-b7c8351c79e1,Splenomegaly Diagnosed,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
4c12e4df-9a3b-40d2-8911-ccec27598139,Splenomegaly Date,Date,Question,

c07169b7-359e-4aa5-aa48-c144b4c2c0ec,Osteonecrosis Diagnosed,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
50fdee78-5351-45fd-8ec1-34d4004889a8,Osteonecrosis Date,Date,Question,

95f516a8-4c8c-4283-8120-8dddf4d05c9c,Abnormal TCD,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
31626eb8-90ce-4a1f-a750-b239a3b2ed6c,TCD Diagnosis Date,Date,Question,

c4c00bd4-7357-4351-91f6-d2709ef16b2b,Sibling Name,Text,Question,
088d837c-de84-4507-9956-ccef46405f63,Sibling Year of Birth,Numeric,Question,
a3f1b2c4-d5e6-4f78-9abc-def012345678,Sibling Tested for SCD,Coded,Question,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA